u_z	r
2.3697	0.0000
2.3660	0.0676
2.3596	0.1044
2.3432	0.1616
2.3191	0.2139
2.2872	0.2556
2.2375	0.2941
2.1660	0.3240
2.0868	0.3464
2.0038	0.3641
1.9314	0.3769
1.8377	0.3917
1.7367	0.4048
1.6483	0.4162
1.5667	0.4261
1.4602	0.4378
1.3847	0.4459
1.2578	0.4598
1.1872	0.4669
1.0636	0.4804
0.9963	0.4875
0.8916	0.4994
0.8148	0.5087
0.6807	0.5252
0.6202	0.5329
0.5305	0.5462
0.4469	0.5592
0.3527	0.5753
0.2816	0.5902
0.1928	0.6108
0.1364	0.6266
0.0576	0.6540
0.0035	0.6782
-0.0594	0.7200
-0.0802	0.7408
-0.1119	0.8124
-0.1102	0.8370
-0.0822	0.9035
-0.0385	0.9585
-0.0278	0.9695
0.0000	1.0000
