u_r	r
0.0000	0.0000
-0.0180	0.0190
-0.0280	0.0311
-0.0460	0.0531
-0.0648	0.0746
-0.0827	0.0950
-0.1041	0.1190
-0.1215	0.1378
-0.1408	0.1588
-0.1672	0.1865
-0.1949	0.2141
-0.2205	0.2397
-0.2537	0.2699
-0.2927	0.3042
-0.3207	0.3278
-0.3479	0.3492
-0.3680	0.3646
-0.3930	0.3830
-0.4177	0.4005
-0.4399	0.4162
-0.4594	0.4298
-0.4867	0.4481
-0.5074	0.4619
-0.5305	0.4772
-0.5479	0.4893
-0.5651	0.5036
-0.5770	0.5162
-0.5774	0.5346
-0.5676	0.5434
-0.5444	0.5527
-0.5229	0.5584
-0.5010	0.5630
-0.4728	0.5677
-0.4432	0.5715
-0.4163	0.5745
-0.3824	0.5779
-0.3650	0.5796
-0.3392	0.5819
-0.3234	0.5833
-0.2979	0.5849
-0.2810	0.5869
-0.2542	0.5885
-0.2369	0.5898
-0.2147	0.5908
-0.1973	0.5921
-0.1731	0.5932
-0.1563	0.5945
-0.1345	0.5953
-0.1177	0.5965
-0.0988	0.5973
-0.0797	0.5985
-0.0541	0.6002
-0.0353	0.6020
-0.0092	0.6029
0.0000	0.6049
