u_r	r
0.0000	0.0000
-0.0194	0.0347
-0.0292	0.0521
-0.0435	0.0778
-0.0566	0.1016
-0.0718	0.1287
-0.0818	0.1462
-0.0965	0.1722
-0.1059	0.1884
-0.1213	0.2150
-0.1334	0.2356
-0.1488	0.2612
-0.1572	0.2756
-0.1680	0.2928
-0.1822	0.3164
-0.1922	0.3326
-0.2049	0.3541
-0.2152	0.3726
-0.2223	0.3910
-0.2204	0.4160
-0.2126	0.4258
-0.2018	0.4334
-0.1873	0.4413
-0.1668	0.4490
-0.1549	0.4533
-0.1378	0.4579
-0.1158	0.4646
-0.0947	0.4692
-0.0773	0.4737
-0.0493	0.4807
-0.0300	0.4861
-0.0107	0.4928
0.0000	0.4971
