shear_rate	viscosity
6.701932e-02	6.175896e-02
7.498942e-02	6.004820e-02
8.822669e-02	5.743809e-02
1.318257e-01	5.038485e-02
1.517749e-01	4.788506e-02
2.048802e-01	4.257945e-02
2.543314e-01	3.899420e-02
3.595837e-01	3.368992e-02
4.094492e-01	3.188600e-02
4.726068e-01	3.003309e-02
6.187283e-01	2.673006e-02
7.994660e-01	2.401596e-02
1.085925e+00	2.119825e-02
1.249396e+00	2.004934e-02
1.527566e+00	1.853105e-02
1.832736e+00	1.727428e-02
2.222286e+00	1.606941e-02
3.033891e+00	1.438136e-02
3.574374e+00	1.363013e-02
4.463751e+00	1.269404e-02
5.598865e+00	1.186042e-02
7.825282e+00	1.079941e-02
9.763376e+00	1.018122e-02
1.248820e+01	9.618337e-03
1.702550e+01	8.957772e-03
2.425493e+01	8.309980e-03
3.430046e+01	7.769624e-03
4.511282e+01	7.390946e-03
5.985494e+01	7.025868e-03
7.954264e+01	6.686518e-03
1.156911e+02	6.292164e-03
1.904145e+02	5.790286e-03
2.591791e+02	5.529680e-03
4.839494e+02	5.073410e-03
